Node	Beg	End
GBS103	12843	12854
GBS103	23510	23513
GBS103	36926	36938
GBS103	38695	38748
GBS103	38917	39000
GBS103	39042	39054
GBS103	39120	39164
GBS103	39504	40499
GBS103	40580	42235
GBS103	42313	42689
GBS104	7835	7839
GBS104	19327	19338
GBS104	19482	19580
GBS104	21122	21138
GBS104	21497	21602
GBS104	21754	22003
GBS104	42011	42175
GBS104	42334	42357
GBS104	42417	42422
GBS104	42491	42501
GBS104	42624	42636
GBS104	43839	43841
GBS105	9586	9591
GBS105	11869	11897
GBS105	21273	21286
GBS105	21691	21693
GBS105	30110	30112
GBS105	30222	30225
GBS105	30451	30453
GBS105	34462	34465
GBS105	37676	37705
GBS105	37983	38078
GBS105	38212	38234
GBS105	38270	38282
GBS105	38750	38762
GBS105	38860	38944
GBS105	39334	39336
GBS105	39412	39416
GBS105	39527	39533
GBS105	39667	39744
GBS105	39785	39799
GBS105	40185	40192
GBS105	40310	40387
GBS105	40561	40580
GBS105	40729	40742
GBS105	40970	40995
GBS105	41073	41075
GBS105	41124	41131
GBS105	41185	41186
GBS105	41234	41255
GBS105	41423	41424
GBS105	41487	41504
GBS105	41564	41580
GBS105	41620	41663
GBS105	41834	41854
GBS105	41909	41959
GBS105	41995	42027
GBS105	42299	42328
GBS105	42490	42526
GBS105	42565	42595
GBS105	42633	42643
GBS105	43155	43167
GBS105	43365	43381
GBS105	43851	43852
GBS106	11703	11711
GBS106	12602	12615
GBS106	12768	12857
GBS106	12923	12955
GBS106	16896	16897
GBS106	21083	21102
GBS106	21186	21202
GBS106	21337	21348
GBS106	21467	21491
GBS106	21586	21629
GBS106	21759	21766
GBS106	21852	22020
GBS106	22225	22248
GBS106	26457	26464
GBS106	34812	34820
GBS106	38795	38820
GBS106	39267	39279
GBS107	5468	5473
GBS107	5529	5533
GBS107	11627	11634
GBS107	16439	16442
GBS107	17300	17358
GBS107	18911	18946
GBS107	19169	19170
GBS107	22018	22023
GBS107	22343	22350
GBS107	23478	23526
GBS107	24882	24921
GBS107	25202	25227
GBS107	25279	25298
GBS107	27053	27063
GBS107	27669	27693
GBS107	29178	29181
GBS107	30288	30294
GBS107	31158	31175
GBS107	31440	31444
GBS107	34810	34820
GBS107	36995	37005
GBS107	37693	37701
GBS107	37732	37760
GBS107	37904	37914
GBS107	37966	37977
GBS107	38008	38032
GBS107	38182	38191
GBS107	38239	38257
GBS107	38306	38345
GBS107	38378	38379
GBS107	38665	38677
GBS107	38971	38987
GBS107	39141	39171
GBS107	39289	39332
GBS107	39573	39602
GBS107	39825	39846
GBS107	40162	40169
GBS107	40201	40216
GBS107	40295	40309
GBS107	40340	40355
GBS107	40385	40469
GBS107	40506	40566
GBS107	40855	40933
GBS107	41070	41077
GBS107	41174	41214
GBS107	41341	41372
GBS107	41423	41424
GBS107	41472	41487
GBS107	41648	41656
GBS107	41728	41784
GBS107	41824	41864
GBS107	41919	42054
GBS107	42087	42106
GBS107	42144	42190
GBS107	42278	42326
GBS107	42386	42402
GBS107	43109	43114
GBS107	43157	43160
GBS107	43729	43731
GBS107	43797	43805
GBS107	43896	43917
GBS108	16446	16451
GBS108	23424	23470
GBS108	43067	43156
GBS109	1916	1926
GBS109	4025	4028
GBS109	17211	17247
GBS109	23430	23508
GBS109	30305	30308
GBS109	38250	38270
GBS109	38364	38424
GBS109	39174	39176
GBS109	39412	39414
GBS109	39701	39718
GBS109	39819	39846
GBS109	40275	40276
GBS109	40599	40623
GBS109	40742	40793
GBS109	40855	40875
GBS109	41464	41534
GBS109	41596	41620
GBS109	41767	41828
GBS109	42424	42542
GBS109	43825	43854
GBS110	1913	1915
GBS110	11663	11666
GBS110	11779	11804
GBS110	11834	11836
GBS110	12793	12796
GBS110	13010	13037
GBS110	13822	13825
GBS110	17205	17209
GBS110	17324	17332
GBS110	19381	19387
GBS110	20040	20041
GBS110	21932	21936
GBS110	22020	22023
GBS110	22317	22328
GBS110	22613	22616
GBS110	24791	24809
GBS110	24884	24893
GBS110	24933	24934
GBS110	30315	30319
GBS110	31172	31174
GBS110	34888	34892
GBS110	36190	36192
GBS110	36865	36882
GBS110	37115	37118
GBS110	37159	37169
GBS110	37260	37271
GBS110	37399	37400
GBS110	37863	37871
GBS110	38479	38481
GBS110	39063	39064
GBS110	43306	43309
GBS111	11544	11555
GBS111	11627	11638
GBS111	17222	17224
GBS111	18852	18862
GBS111	18994	19085
GBS111	20998	21004
GBS111	21098	21159
GBS111	21214	21295
GBS111	21418	21494
GBS111	21576	21724
GBS111	21765	21851
GBS111	21910	22027
GBS111	22212	22350
GBS111	22601	22621
GBS111	36869	36882
GBS111	36999	37000
GBS111	37042	37052
GBS111	37474	37484
GBS111	37691	37712
GBS111	37775	37813
GBS111	38119	38191
GBS111	38239	38250
GBS111	38408	38441
GBS111	38524	38564
GBS111	38604	38611
GBS111	38695	38794
GBS111	38870	38894
GBS111	38951	39098
GBS111	39277	39321
GBS111	39437	39476
GBS111	39575	39743
GBS111	39798	40040
GBS111	40141	40473
GBS111	40540	40547
GBS111	40595	40701
GBS111	40771	40808
GBS111	40851	40926
GBS111	41229	41367
GBS111	41459	41467
GBS111	41665	41828
GBS111	41927	41975
GBS111	42062	42073
GBS111	42156	42168
GBS111	42427	42435
GBS111	42496	42501
GBS111	42640	42875
GBS111	42968	42971
GBS111	43140	43155
GBS112	3264	3265
GBS112	11578	11624
GBS112	13837	13847
GBS112	18849	18882
GBS112	19063	19135
GBS112	19380	19387
GBS112	19482	19620
GBS112	20985	20990
GBS112	21122	21139
GBS112	21380	21422
GBS112	21458	21618
GBS112	21712	21724
GBS112	21759	22005
GBS112	23489	23496
GBS112	27780	27785
GBS112	30008	30023
GBS112	30976	30979
GBS112	34803	34812
GBS112	34942	34943
GBS112	39683	39698
GBS112	39931	39990
GBS112	40143	40173
GBS112	40415	40419
GBS112	40459	40481
GBS112	40853	40971
GBS112	41083	41087
GBS112	41198	41237
GBS112	41355	41384
GBS112	41416	41720
GBS112	41781	41802
GBS112	41834	41843
GBS112	42046	42175
GBS112	42214	42231
GBS112	42278	42322
GBS112	42439	42491
GBS112	42767	42807
GBS112	42978	42986
GBS112	43109	43155
GBS113	4774	4776
GBS113	4844	4933
GBS113	5473	5502
GBS113	12650	12703
GBS113	20545	20580
GBS113	24870	24883
GBS113	41015	41029
GBS113	42653	42691
GBS114	4856	5116
GBS114	5480	5537
GBS114	7657	7922
GBS114	9443	9681
GBS114	12725	12728
GBS114	12944	13006
GBS114	13893	13920
GBS114	17276	17301
GBS114	19140	19143
GBS114	20535	20545
GBS114	20610	20613
GBS114	21276	21316
GBS114	34484	34491
GBS114	40056	40069
GBS114	42722	42745
GBS115	4864	4877
GBS115	4972	5014
GBS115	5070	5189
GBS115	5522	5533
GBS115	7147	7184
GBS115	12710	12777
GBS115	17282	17285
GBS115	17366	17383
GBS115	20605	20606
GBS115	20990	20993
GBS115	24254	24258
GBS115	24576	24629
GBS115	24789	24921
GBS115	25005	25055
GBS115	25294	25311
GBS115	31090	31102
GBS115	34956	34967
GBS115	40056	40067
GBS116	12579	12640
GBS116	12707	12709
GBS116	12832	12887
GBS116	21376	21497
GBS116	21604	21635
GBS116	21913	21983
GBS116	39273	39278
GBS117	12711	12714
GBS117	12912	12919
GBS117	13262	13263
GBS117	18939	18979
GBS117	21103	21105
GBS117	21576	21802
GBS117	21855	21875
GBS117	21910	21915
GBS117	21957	22002
GBS117	37188	37190
GBS117	38772	38781
GBS117	39273	39278
GBS117	43041	43166
GBS117	43239	43255
GBS118	3255	3262
GBS118	21768	21769
GBS118	25114	25124
GBS118	31117	31121
GBS118	33672	33673
GBS119	4879	4902
GBS119	4978	4979
GBS119	22458	22469
GBS119	33782	33783
GBS119	37435	37437
GBS119	39570	39571
GBS120	21378	21396
GBS120	22013	22050
GBS120	22271	22340
GBS120	34445	34458
GBS120	37291	37292
GBS120	38677	38730
GBS120	39921	39954
GBS120	40219	40222
GBS120	42024	42057
GBS120	42535	42565
GBS121	3049	3050
GBS121	8646	8647
GBS121	9671	9674
GBS121	10159	10175
GBS121	10207	10224
GBS121	16435	16478
GBS121	17406	17408
GBS121	18962	18966
GBS121	21317	21339
GBS121	28169	28170
GBS121	31465	31473
GBS121	37056	37062
GBS121	37110	37118
GBS121	37257	37285
GBS121	37420	37432
GBS121	37491	37494
GBS121	39096	39098
GBS121	39265	39278
GBS121	42865	42870
GBS121	43067	43098
GBS121	43324	43328
GBS122	5524	5525
GBS122	17224	17225
GBS122	18852	18882
GBS122	21842	21851
GBS122	21910	21917
GBS122	21960	21977
GBS122	22635	22636
GBS122	30003	30039
GBS122	38571	38582
GBS122	38787	38790
GBS122	40125	40126
GBS122	43285	43288
GBS123	28109	28111
GBS123	34947	34948
GBS123	40078	40084
GBS124	5498	5520
GBS124	20528	20568
GBS124	21849	22002
GBS124	23470	23497
GBS124	24872	24925
GBS125	1747	1748
GBS125	3250	3279
GBS125	5500	5519
GBS125	12661	12669
GBS125	12836	12859
GBS125	24877	24926
GBS125	30003	30057
GBS126	21819	21824
GBS126	22223	22224
GBS126	25005	25013
GBS126	37101	37110
GBS126	38771	38781
GBS126	38816	38817
GBS126	43188	43208
GBS127	5228	5243
GBS127	17282	17293
GBS127	34257	34258
GBS127	34489	34490
GBS127	39570	39571
GBS127	40057	40080
GBS127	41013	41025
GBS128	15105	15704
GBS128	19351	19354
GBS128	20291	20296
GBS128	21803	21840
GBS128	21920	21941
GBS128	22029	22051
GBS128	22206	22208
GBS128	22511	22522
GBS128	38977	39054
GBS128	40178	40296
GBS128	40388	40415
GBS128	40929	40986
GBS128	41456	41504
GBS128	41728	41828
GBS128	41894	41971
GBS128	42175	42237
GBS128	42599	42609
GBS129	19552	19568
GBS129	21787	21793
GBS129	21913	21923
GBS129	21995	21997
GBS129	24634	24635
GBS129	39564	39566
GBS129	39767	39774
GBS129	40120	40121
GBS129	42359	42360
GBS129	42417	42471
GBS129	42531	42544
GBS130	16426	16430
GBS130	17222	17227
GBS130	22392	22393
GBS130	24806	24813
GBS130	28170	28173
GBS130	43813	43817
GBS131	25061	25064
GBS132	4856	4916
GBS132	8955	9476
GBS132	9523	9583
GBS132	9649	9679
GBS132	9746	9820
GBS132	9887	9907
GBS132	9951	9973
GBS132	10314	10459
GBS132	10632	11437
GBS132	11709	11711
GBS132	12000	12763
GBS132	12848	13349
GBS132	17214	17225
GBS132	23516	23522
GBS132	30235	30248
GBS132	30650	30659
GBS132	30884	30897
GBS132	30933	30942
GBS132	31010	31021
GBS132	34712	34718
GBS132	38566	38568
GBS132	38659	38709
GBS132	40084	40088
GBS132	40484	40490
GBS133	12623	12625
GBS133	12774	12884
GBS133	12998	13010
GBS133	20970	20992
GBS133	21124	21136
GBS133	21390	21417
GBS133	21823	21944
GBS133	37721	37743
GBS134	4680	4691
GBS134	9701	9706
GBS134	22475	22476
GBS134	25301	25310
GBS134	30571	30585
GBS134	36924	36926
GBS134	37232	37235
GBS134	37600	37699
GBS134	37776	37786
GBS134	38011	38093
GBS134	38378	38379
GBS134	38667	38673
GBS134	38738	38754
GBS134	38926	38964
GBS134	39325	39401
GBS134	39467	39478
GBS134	39814	39867
GBS134	40007	40015
GBS134	40174	40190
GBS134	40325	40382
GBS134	40687	40688
GBS134	40781	40783
GBS134	40965	40995
GBS134	41290	41303
GBS134	41549	41552
GBS134	43849	43851
GBS135	24903	24912
GBS135	37861	37871
GBS135	39178	39179
GBS136	21786	22016
GBS136	22593	22594
GBS136	30734	30759
GBS136	30888	30902
GBS136	38778	38817
GBS136	39262	39263
GBS137	5228	5244
GBS137	25273	25278
GBS138	4518	4578
GBS138	4751	4756
GBS138	9563	9604
GBS138	11469	11538
GBS138	11787	11795
GBS138	15775	15776
GBS138	17881	17886
GBS138	19776	19791
GBS138	21162	21231
GBS138	21802	21913
GBS138	22498	22500
GBS138	22614	22670
GBS138	22750	22969
GBS138	24583	24631
GBS138	24886	24933
GBS138	25080	25081
GBS138	25327	25329
GBS138	34659	34716
GBS138	37116	37135
GBS138	38131	38141
GBS138	38192	38224
GBS138	39143	39210
GBS138	39285	39311
GBS138	39452	39582
GBS138	39762	40037
GBS138	40192	40212
GBS138	40275	40288
GBS138	40410	40447
GBS138	40581	40583
GBS138	40828	40878
GBS138	40936	40938
GBS138	40990	40995
GBS138	41065	41081
GBS138	41337	41345
GBS138	41437	41444
GBS138	41583	41670
GBS138	41721	41793
GBS138	42026	42038
GBS138	42116	42150
GBS138	42193	42492
GBS138	42587	42603
GBS138	43041	43092
GBS138	43240	43242
GBS139	4742	4744
GBS139	9538	9693
GBS139	11713	11744
GBS139	21151	21223
GBS139	21525	21572
GBS139	21789	21856
GBS139	22487	22497
GBS139	22621	22723
GBS139	24961	25028
GBS139	25292	25296
GBS139	26796	26808
GBS139	27669	27694
GBS139	30003	30007
GBS139	34595	34707
GBS139	36897	36936
GBS139	37122	37139
GBS139	37814	37848
GBS139	37936	37941
GBS139	38245	38348
GBS139	38726	38754
GBS139	38912	38918
GBS139	39122	39167
GBS139	39228	39246
GBS139	39439	39549
GBS139	39660	39728
GBS139	39808	39867
GBS139	39951	39974
GBS139	40232	40355
GBS139	40563	40623
GBS139	40859	40936
GBS139	41014	41165
GBS139	41275	41341
GBS139	41532	41586
GBS139	41767	41906
GBS139	42026	42145
GBS139	42214	42466
GBS139	42551	42587
GBS139	43033	43035
GBS139	43216	43230
GBS139	43906	43940
GBS140	4811	4814
GBS140	4922	4943
GBS140	4993	4994
GBS140	5161	5188
GBS140	5476	5525
GBS140	12760	12768
GBS140	12881	12882
GBS140	12923	12926
GBS140	12992	12998
GBS140	17192	17213
GBS140	17302	17321
GBS140	21670	21671
GBS140	22398	22400
GBS140	22498	22504
GBS140	23510	23512
GBS140	24295	24316
GBS140	24630	24649
GBS140	24690	24693
GBS140	24831	24845
GBS140	24997	25055
GBS140	30041	30042
GBS140	33782	33783
GBS140	34445	34447
GBS140	34489	34490
GBS140	39015	39028
GBS140	39570	39571
GBS141	3267	3268
GBS141	16429	16470
GBS141	17227	17228
GBS141	17404	17405
GBS141	19428	19433
GBS141	22368	22381
GBS141	22495	22500
GBS141	30297	30299
GBS141	31197	31220
GBS141	36994	37013
GBS141	43935	43954
GBS142	5503	5525
GBS142	7821	7824
GBS142	8519	8520
GBS142	9532	9608
GBS142	9654	9660
GBS142	11463	11475
GBS142	11552	11565
GBS142	11896	11921
GBS142	12762	12763
GBS142	17249	17254
GBS142	18967	19002
GBS142	19770	19828
GBS142	21213	21231
GBS142	21317	21339
GBS142	21585	21589
GBS142	21768	21883
GBS142	21939	21941
GBS142	22001	22002
GBS142	22282	22301
GBS142	22431	22434
GBS142	22505	22508
GBS142	22639	22648
GBS142	22874	22887
GBS142	23449	23456
GBS142	24775	24776
GBS142	25288	25323
GBS142	27661	27664
GBS142	30171	30172
GBS142	30223	30242
GBS142	30488	30496
GBS142	30962	31001
GBS142	31980	31981
GBS142	34458	34465
GBS142	36868	36869
GBS142	37090	37113
GBS142	37224	37226
GBS142	37297	37299
GBS142	37722	37723
GBS142	37845	37864
GBS142	37983	38025
GBS142	38105	38228
GBS142	38344	38348
GBS142	38524	38568
GBS142	38859	38904
GBS142	38977	39000
GBS142	39043	39048
GBS142	39210	39292
GBS142	39434	39714
GBS142	39815	40083
GBS142	40128	40253
GBS142	40302	40413
GBS142	40461	40474
GBS142	40530	40627
GBS142	40672	40904
GBS142	41075	41158
GBS142	41272	41305
GBS142	41353	41670
GBS142	41721	42079
GBS142	42203	42217
GBS142	42344	42465
GBS142	42530	42564
GBS142	42727	42730
GBS142	43234	43242
GBS142	43315	43317
GBS142	43566	43567
GBS143	3303	3309
GBS143	4073	4085
GBS143	4717	4723
GBS143	5463	5536
GBS143	7876	8748
GBS143	11572	11576
GBS143	11839	11851
GBS143	21124	21132
GBS143	21490	21492
GBS143	21916	21923
GBS143	21995	22002
GBS143	23430	23465
GBS143	23626	23644
GBS143	30003	30054
GBS143	32376	32389
GBS143	34489	34502
GBS143	38613	38637
GBS143	38803	38807
GBS143	40120	40126
GBS144	20978	20982
GBS144	21347	21369
GBS144	21397	21422
GBS144	21508	21512
GBS144	21544	21562
GBS144	21610	21631
GBS144	21710	21724
GBS144	21817	21824
GBS144	21884	21994
GBS144	23409	23415
GBS144	30365	30382
GBS145	37057	37058
GBS146	3238	3299
GBS146	5498	5521
GBS146	8643	8645
GBS146	11754	11764
GBS146	12826	12887
GBS146	23464	23488
GBS146	25168	25181
GBS147	5383	5457
GBS147	5553	5584
GBS147	9505	9537
GBS147	11777	11781
GBS147	11928	11932
GBS147	12869	12878
GBS147	17248	17254
GBS147	21533	21543
GBS147	22716	22757
GBS147	22896	22925
GBS147	23478	23484
GBS147	30470	30481
GBS147	34447	34459
GBS147	37143	37151
GBS147	38981	38987
GBS147	39309	39336
GBS147	39374	39408
GBS147	41238	41281
GBS147	41824	41826
GBS147	42286	42297
GBS148	3263	3265
GBS148	4737	4738
GBS148	11909	11910
GBS148	16419	16429
GBS148	16476	16477
GBS148	17289	17334
GBS148	22563	22572
GBS148	25005	25042
GBS148	26340	26341
GBS148	26704	26717
GBS148	26756	26776
GBS148	33499	33500
GBS148	34489	34490
GBS148	43883	43902
GBS149	21821	21868
GBS149	39374	39387
GBS149	42062	42102
GBS150	12915	12917
GBS150	17227	17265
GBS150	19517	19518
GBS150	37263	37290
GBS151	5513	5536
GBS151	22754	22798
GBS151	22929	22951
GBS152	12577	12585
GBS152	12680	12687
GBS152	12768	12774
GBS152	19006	19010
GBS152	21122	21123
GBS152	30197	30198
GBS152	38429	38430
GBS153	26818	26839
GBS153	43140	43141
GBS154	4841	4958
GBS154	5181	5235
GBS154	5477	5500
GBS154	12565	12625
GBS154	12834	12881
GBS155	11773	11782
GBS155	11899	11907
GBS155	18999	19002
GBS155	21517	21538
GBS155	21662	21687
GBS155	21803	21850
GBS155	22219	22222
GBS155	26056	26059
GBS155	31423	31465
GBS155	37984	38025
GBS155	38258	38287
GBS155	38912	38939
GBS155	39060	39085
GBS155	39597	39620
GBS155	39683	39708
GBS155	40260	40277
GBS155	40349	40387
GBS155	40728	40786
GBS155	41073	41111
GBS155	41289	41307
GBS155	41457	41508
GBS155	41633	41657
GBS155	41836	41965
GBS155	42144	42261
GBS155	43081	43116
GBS155	43313	43318
GBS155	43367	43397
GBS155	43797	43804
GBS156	3239	3279
GBS156	4837	4930
GBS156	5000	5064
GBS156	5141	5151
GBS156	5218	5246
GBS156	5476	5529
GBS156	12754	12802
GBS156	12886	12933
GBS156	17310	17368
GBS156	18878	18893
GBS156	19098	19109
GBS156	19377	19396
GBS156	24258	24327
GBS156	24641	24674
GBS156	24877	24887
GBS156	39015	39031
GBS157	5383	5457
GBS157	5536	5584
GBS157	12836	12863
GBS157	20535	20584
GBS157	21966	21994
GBS157	22506	22508
GBS157	23440	23456
GBS157	27661	27664
GBS157	30288	30318
GBS157	33620	33623
GBS157	33782	34012
GBS157	34092	34412
GBS157	36398	36498
GBS157	36631	36648
GBS157	37700	37713
GBS157	37762	37779
GBS157	38059	38138
GBS157	38245	38289
GBS157	38524	38527
GBS157	38880	38936
GBS157	38986	39005
GBS157	39144	39393
GBS157	39452	39485
GBS157	39722	39751
GBS157	39981	40067
GBS157	40667	40683
GBS157	40744	40761
GBS157	40934	40969
GBS157	41483	41522
GBS157	41778	41793
GBS157	41903	41934
GBS157	41996	42013
GBS157	42325	42447
GBS157	42633	42643
GBS157	43150	43152
GBS158	5233	5256
GBS158	5480	5498
GBS158	12669	12708
GBS158	21818	21850
GBS158	21983	22016
GBS158	24301	24326
GBS158	34500	34515
GBS158	39758	39760
GBS158	41012	41035
GBS159	2857	2859
GBS159	3099	3100
GBS159	17234	17236
GBS159	19589	19613
GBS159	21760	21766
GBS159	21847	21889
GBS159	42280	42297
GBS159	42457	42463
GBS159	42544	42560
GBS160	4634	4635
GBS160	5473	5536
GBS160	7016	7017
GBS160	16896	16897
GBS160	17246	17250
GBS160	17317	17324
GBS160	18884	18890
GBS160	18929	18930
GBS160	21770	21783
GBS160	22005	22027
GBS160	22419	22420
GBS160	23428	23512
GBS160	24932	24934
GBS160	24964	24984
GBS160	25069	25128
GBS160	26054	26055
GBS160	29725	29735
GBS160	30129	30137
GBS160	30449	30502
GBS160	34445	34447
GBS160	36883	36911
GBS160	37108	37127
GBS160	37843	37930
GBS160	38097	38165
GBS160	38210	38228
GBS160	38267	38365
GBS160	38418	38425
GBS160	38558	38626
GBS160	38857	38903
GBS160	39159	39179
GBS160	39233	39261
GBS160	39422	39485
GBS160	39640	39735
GBS160	39780	39862
GBS160	39905	39950
GBS160	40171	40188
GBS160	40222	40235
GBS160	40383	40452
GBS160	40503	40535
GBS160	40626	40742
GBS160	40989	40995
GBS160	41223	41262
GBS160	41305	41508
GBS160	41554	41859
GBS160	41929	42022
GBS160	42068	42082
GBS160	42199	42237
GBS160	42362	42496
GBS160	43285	43289
GBS160	43836	43847
GBS161	4667	4674
GBS161	4722	4723
GBS161	4809	4810
GBS161	4856	4933
GBS161	5072	5090
GBS161	5482	5540
GBS161	7833	7840
GBS161	11566	11640
GBS161	11746	11766
GBS161	11831	11858
GBS161	12565	12618
GBS161	12981	13001
GBS161	15196	15197
GBS161	17205	17301
GBS161	18953	18976
GBS161	19100	19137
GBS161	19191	19200
GBS161	19279	19358
GBS161	20534	20535
GBS161	20972	20975
GBS161	21308	21314
GBS161	21658	21676
GBS161	21840	21850
GBS161	22004	22086
GBS161	22221	22257
GBS161	22349	22392
GBS161	24296	24352
GBS161	24577	24602
GBS161	24924	24947
GBS161	25029	25042
GBS161	25292	25299
GBS161	30174	30181
GBS161	30398	30410
GBS161	31082	31111
GBS161	33877	33878
GBS161	34450	34577
GBS161	34909	34970
GBS161	40495	40496
GBS161	40998	41034
GBS162	8131	8134
GBS162	8519	8520
GBS162	11556	11565
GBS162	12594	12596
GBS162	12954	12960
GBS162	13261	13263
GBS162	21345	21346
GBS162	21381	21394
GBS162	21619	21621
GBS162	21818	21824
GBS162	21913	21918
GBS162	21973	21979
GBS162	22010	22011
GBS162	34942	34945
GBS162	37186	37197
GBS162	37220	37285
GBS162	37538	37543
GBS162	38571	38572
GBS162	38807	38817
GBS163	3253	3254
GBS163	5508	5510
GBS163	9664	9666
GBS163	17291	17306
GBS163	23430	23508
GBS163	24812	24828
GBS163	31125	31126
GBS163	34493	34494
GBS163	37994	38043
GBS163	38156	38158
GBS163	39249	39256
GBS163	39863	39864
GBS163	39964	39965
GBS163	40009	40067
GBS163	40258	40267
GBS163	40331	40349
GBS163	40936	40991
GBS163	41437	41486
GBS163	41593	41680
GBS163	42185	42189
GBS163	43739	43751
GBS163	43851	43864
GBS163	43968	43981
GBS164	5482	5529
GBS164	9580	9582
GBS164	9663	9665
GBS164	11738	11745
GBS164	11913	11925
GBS164	17249	17254
GBS164	19095	19097
GBS164	19130	19135
GBS164	19777	19789
GBS164	21691	21693
GBS164	27693	27696
GBS164	30004	30027
GBS164	30107	30119
GBS164	30265	30281
GBS164	30320	30356
GBS164	37000	37021
GBS164	37853	37856
GBS164	38268	38280
GBS164	38556	38562
GBS164	38877	38896
GBS164	39066	39091
GBS164	39148	39210
GBS164	39417	39431
GBS164	39783	39800
GBS164	40179	40193
GBS164	40338	40354
GBS164	40396	40414
GBS164	40954	40984
GBS164	41132	41141
GBS164	41240	41254
GBS164	41295	41304
GBS164	41453	41486
GBS164	41599	41608
GBS164	41661	41679
GBS164	41834	41848
GBS164	41989	41993
GBS164	42233	42234
GBS164	42273	42278
GBS165	11298	11332
GBS165	11470	11529
GBS165	11626	11679
GBS165	11725	11764
GBS165	12847	12913
GBS165	13989	14046
GBS165	19501	19620
GBS165	21267	21272
GBS165	21395	21445
GBS165	21544	21573
GBS165	21905	21945
GBS165	23489	23496
GBS165	34803	34815
GBS165	39272	39288
GBS165	42978	42989
GBS166	5465	5524
GBS166	11712	11733
GBS166	11930	11943
GBS166	22317	22341
GBS166	22502	22504
GBS166	26895	26900
GBS166	31569	31596
GBS166	34498	34500
GBS166	37409	37413
GBS166	43150	43171
GBS166	43228	43230
GBS167	3048	3049
GBS167	17339	17354
GBS167	19223	19226
GBS167	22268	22269
GBS167	22503	22508
GBS167	24775	24788
GBS167	24872	24877
GBS167	25326	25329
GBS167	27048	27059
GBS167	32348	32367
GBS167	34458	34459
GBS167	34802	34819
GBS167	36865	36867
GBS167	37585	37591
GBS167	38531	38534
GBS167	38584	38595
GBS167	38657	38659
GBS167	42614	42618
GBS167	43327	43328
GBS167	43781	43785
GBS167	43819	43845
GBS167	43935	43952
GBS168	3298	3300
GBS168	13049	13055
GBS168	21933	21934
GBS168	22357	22363
GBS168	23490	23513
GBS168	39570	39571
GBS169	17216	17218
GBS169	21085	21088
GBS169	21913	21924
GBS169	38857	38858
GBS169	39661	39662
GBS169	40403	40404
GBS169	41216	41218
GBS169	41322	41326
GBS169	41728	41733
GBS169	42209	42210
GBS170	5495	5524
GBS170	8519	8521
GBS170	9438	9476
GBS170	9545	9559
GBS170	11739	11749
GBS170	17354	17408
GBS170	20541	20566
GBS170	21420	21422
GBS170	21713	21725
GBS170	21976	22004
GBS170	22754	22810
GBS170	23440	23455
GBS170	24659	24721
GBS170	24923	25013
GBS170	25324	25326
GBS170	30140	30142
GBS170	30288	30319
GBS170	37027	37030
GBS170	37103	37149
GBS170	37538	37539
GBS170	37848	37896
GBS170	38350	38353
GBS170	38395	38400
GBS170	38565	38609
GBS170	38912	38918
GBS170	39043	39080
GBS170	39414	39456
GBS170	39504	39510
