Parameter	Branch	Posterior Mean	Posterior Variance	a_post	b_post
nu	GBS141	0.924777	0.0120882	70.7475	76.5022
M	GBS141	0.102259	0.000314472	33.2525	325.178
R/theta	GBS142	3.71776	0.11379	121.467	32.672
1/delta	GBS142	0.679612	0.00380246	121.467	178.729
nu	GBS142	0.842307	0.001004	706.653	838.949
M	GBS142	0.149414	0.0004923	45.3473	303.501
R/theta	GBS143	1.01194	0.0239999	42.6674	42.1641
1/delta	GBS143	0.530474	0.00659526	42.6674	80.4326
nu	GBS143	1.18463	0.00332737	421.762	356.027
M	GBS143	0.202497	0.000638325	64.2382	317.231
R/theta	GBS144	0.920862	0.0354981	23.8882	25.9411
1/delta	GBS144	0.964375	0.0389321	23.8882	24.7707
nu	GBS144	1.74631	0.0211504	144.187	82.5666
M	GBS144	0.0978839	0.000301176	31.8128	325.006
R/theta	GBS145	0.735157	0.0390509	13.8398	18.8256
1/delta	GBS145	1.19993	0.104035	13.8398	11.5339
nu	GBS145	0.820628	0.0467974	14.3904	17.5358
M	GBS145	0.0538761	0.000164832	17.6096	326.855
R/theta	GBS146	1.02577	0.0408916	25.7316	25.0852
1/delta	GBS146	0.952811	0.0352814	25.7317	27.006
nu	GBS146	0.725764	0.00775812	67.8945	93.549
M	GBS146	0.0927198	0.000285561	30.1055	324.694
R/theta	GBS147	1.07456	0.0241907	47.7323	44.4203
1/delta	GBS147	1.0671	0.0238561	47.7323	44.7308
nu	GBS147	0.931692	0.00515805	168.29	180.629
M	GBS147	0.21324	0.000661787	68.7096	322.218
R/theta	GBS148	1.33197	0.058512	30.3212	22.7641
1/delta	GBS148	1.1934	0.0469704	30.3212	25.4075
nu	GBS148	1.00971	0.0117825	86.5271	85.6953
M	GBS148	0.0783981	0.000241287	25.4729	324.917
R/theta	GBS149	0.658759	0.0270835	16.0232	24.3233
1/delta	GBS149	0.96251	0.0578178	16.0232	16.6473
nu	GBS149	1.20539	0.0282574	51.419	42.6575
M	GBS149	0.0876342	0.000268701	28.581	326.14
R/theta	GBS150	0.710773	0.028526	17.7101	24.9167
1/delta	GBS150	1.04487	0.0616455	17.7101	16.9496
nu	GBS150	0.979429	0.0221877	43.2348	44.1428
M	GBS150	0.091277	0.000279906	29.7652	326.098
R/theta	GBS151	0.796416	0.0317693	19.9651	25.0687
1/delta	GBS151	0.964225	0.0465677	19.9651	20.7059
nu	GBS151	0.494112	0.00789354	30.9299	62.5969
M	GBS151	0.0923604	0.000283685	30.0701	325.574
R/theta	GBS152	1.07664	0.0522548	22.1828	20.6037
1/delta	GBS152	1.38679	0.086697	22.1828	15.9958
nu	GBS152	1.03508	0.0262333	40.8413	39.4569
M	GBS152	0.064858	0.00019881	21.1587	326.231
R/theta	GBS153	0.682515	0.0286726	16.2464	23.8037
1/delta	GBS153	1.20458	0.0893128	16.2464	13.4872
nu	GBS153	0.864535	0.0318636	23.4569	27.1324
M	GBS153	0.0843376	0.000258243	27.5431	326.582
R/theta	GBS154	1.11907	0.0411153	30.4589	27.218
1/delta	GBS154	0.808513	0.0214615	30.4589	37.6728
nu	GBS154	0.456535	0.00312795	66.633	145.954
M	GBS154	0.106332	0.000328995	34.367	323.204
R/theta	GBS155	1.49421	0.0353883	63.0905	42.2233
1/delta	GBS155	0.874667	0.0121261	63.0905	72.1309
nu	GBS155	0.852206	0.00270334	268.651	315.242
M	GBS155	0.202106	0.000634774	64.3487	318.391
R/theta	GBS156	1.16459	0.0372089	36.4503	31.2988
1/delta	GBS156	0.7496	0.0154155	36.4503	48.6263
nu	GBS156	0.943506	0.00472303	188.481	199.767
M	GBS156	0.13218	0.000410913	42.5188	321.674
R/theta	GBS157	1.68817	0.0328933	86.6413	51.3226
1/delta	GBS157	0.649394	0.00486732	86.6414	133.419
nu	GBS157	0.76971	0.00124883	474.406	616.344
M	GBS157	0.266577	0.000860398	82.5937	309.83
R/theta	GBS158	1.40186	0.0489918	40.113	28.6141
1/delta	GBS158	1.17146	0.0342111	40.113	34.242
nu	GBS158	0.572028	0.00443093	73.848	129.099
M	GBS158	0.114779	0.000354603	37.152	323.683
R/theta	GBS159	0.975621	0.0405152	23.4933	24.0804
1/delta	GBS159	1.21424	0.0627573	23.4933	19.3482
nu	GBS159	1.12474	0.0201109	62.9027	55.9266
M	GBS159	0.0862507	0.000264765	28.0973	325.763
R/theta	GBS160	2.43186	0.0769616	76.8429	31.5984
1/delta	GBS160	0.579361	0.00436812	76.8429	132.634
nu	GBS160	1.48874	0.00243065	911.831	612.486
M	GBS160	0.139283	0.000449387	43.1693	309.94
R/theta	GBS161	2.05915	0.0557222	76.0933	36.9538
1/delta	GBS161	0.809274	0.00860687	76.0933	94.0266
nu	GBS161	0.882558	0.00208735	373.157	422.813
M	GBS161	0.170749	0.000541488	53.8426	315.332
R/theta	GBS162	1.13513	0.0352659	36.537	32.1876
1/delta	GBS162	1.61076	0.071012	36.537	22.683
nu	GBS162	1.8078	0.0250007	130.723	72.3102
M	GBS162	0.136113	0.000418427	44.2773	325.297
R/theta	GBS163	1.75521	0.0736394	41.8358	23.8352
1/delta	GBS163	1.01397	0.0245756	41.8358	41.2593
nu	GBS163	1.31063	0.00801249	214.384	163.573
M	GBS163	0.0855785	0.000265193	27.6164	322.703
R/theta	GBS164	2.19257	0.0793089	60.6157	27.646
1/delta	GBS164	1.23501	0.0251627	60.6157	49.0811
nu	GBS164	1.20184	0.00594967	242.773	202.001
M	GBS164	0.109533	0.000340576	35.2269	321.61
R/theta	GBS165	0.75512	0.0136367	41.8141	55.3742
1/delta	GBS165	0.84362	0.0170204	41.8141	49.5652
nu	GBS165	0.961048	0.00470227	196.418	204.379
M	GBS165	0.28171	0.00087612	90.5817	321.543
R/theta	GBS166	0.75145	0.012807	44.0913	58.6749
1/delta	GBS166	1.38825	0.04371	44.0913	31.7604
nu	GBS166	0.922555	0.00789137	107.853	116.907
M	GBS166	0.299809	0.000925253	97.147	324.029
R/theta	GBS167	1.31569	0.0384756	44.9909	34.1956
1/delta	GBS167	1.53767	0.0525532	44.991	29.2592
nu	GBS167	1.08691	0.0103893	113.711	104.619
M	GBS167	0.148865	0.000458924	48.2887	324.379
R/theta	GBS168	1.01594	0.0586119	17.6098	17.3334
1/delta	GBS168	1.24448	0.0879472	17.6098	14.1503
nu	GBS168	1.16378	0.0382946	35.3672	30.3901
M	GBS168	0.0448185	0.000137274	14.6328	326.489
R/theta	GBS169	1.16015	0.0442491	30.4174	26.2186
1/delta	GBS169	1.55596	0.0795927	30.4174	19.549
nu	GBS169	0.836987	0.0147063	47.6358	56.9134
M	GBS169	0.0993575	0.000305025	32.3642	325.735
R/theta	GBS170	2.79549	0.0910874	85.7943	30.6902
1/delta	GBS170	0.672567	0.00527245	85.7944	127.562
nu	GBS170	0.937161	0.00159497	550.649	587.571
M	GBS170	0.133112	0.000428498	41.351	310.648
R/theta	GBS171	1.0374	0.0433385	24.8322	23.937
1/delta	GBS171	1.3011	0.0681716	24.8322	19.0856
nu	GBS171	0.900288	0.0164777	49.1888	54.6367
M	GBS171	0.0853629	0.00026201	27.8112	325.8
R/theta	GBS172	0.797326	0.0395234	16.0849	20.1735
1/delta	GBS172	0.99082	0.061034	16.0849	16.2339
nu	GBS172	0.509508	0.0125412	20.6996	40.6267
M	GBS172	0.0622333	0.000190784	20.3004	326.198
R/theta	GBS173	0.886638	0.0315222	24.9388	28.1274
1/delta	GBS173	0.329529	0.00435422	24.9388	75.6803
nu	GBS173	1.2769	0.00383823	424.798	332.68
M	GBS173	0.113879	0.000358229	36.2016	317.895
R/theta	GBS174	0.965435	0.048217	19.3306	20.0227
1/delta	GBS174	0.996904	0.0514116	19.3306	19.3906
nu	GBS174	0.516603	0.00920281	28.9997	56.1354
M	GBS174	0.0613962	0.000188472	20.0003	325.757
R/theta	GBS175	1.53239	0.0535172	43.8777	28.6336
1/delta	GBS175	0.763671	0.0132913	43.8777	57.4564
nu	GBS175	0.476241	0.00195864	115.797	243.148
M	GBS175	0.116099	0.000362311	37.2028	320.44
R/theta	GBS176	1.68682	0.0617625	46.0693	27.3113
1/delta	GBS176	1.23473	0.033093	46.0693	37.3111
nu	GBS176	1.45271	0.010076	209.447	144.176
M	GBS176	0.106892	0.000330674	34.5532	323.254
R/theta	GBS177	1.11104	0.0213438	57.8349	52.0546
1/delta	GBS177	1.26807	0.0278032	57.8349	45.6087
nu	GBS177	1.34664	0.00728144	249.05	184.942
M	GBS177	0.260638	0.000809195	83.9502	322.095
R/theta	GBS178	0.750292	0.0185592	30.332	40.4269
1/delta	GBS178	1.15435	0.043931	30.332	26.2763
nu	GBS178	1.42588	0.0158494	128.277	89.9639
M	GBS178	0.186956	0.000575612	60.7225	324.795
R/theta	GBS179	1.38163	0.030053	63.5175	45.973
1/delta	GBS179	0.240118	0.000907725	63.5175	264.527
nu	GBS179	1.51449	0.00120154	1908.95	1260.46
M	GBS179	0.247163	0.000847848	72.0523	291.518
R/theta	GBS180	1.57907	0.0510871	48.8082	30.9094
1/delta	GBS180	0.833126	0.0142209	48.8082	58.5845
nu	GBS180	0.990199	0.00398166	246.253	248.69
M	GBS180	0.130345	0.000406969	41.7473	320.283
R/theta	GBS181	1.99382	0.0410047	96.9476	48.6241
1/delta	GBS181	0.659244	0.00448286	96.9476	147.059
nu	GBS181	0.857218	0.00125443	585.784	683.354
M	GBS181	0.250763	0.000814363	77.2161	307.925
R/theta	GBS182	1.20057	0.0421227	34.2185	28.5018
1/delta	GBS182	1.22476	0.0438367	34.2185	27.939
nu	GBS182	1.06056	0.0108074	104.075	98.1326
M	GBS182	0.113767	0.000350524	36.9246	324.563
R/theta	GBS183	1.79792	0.0587986	54.9763	30.5777
1/delta	GBS183	0.945568	0.0162633	54.9764	58.1411
nu	GBS183	1.11116	0.00450755	273.915	246.512
M	GBS183	0.128251	0.000400355	41.0847	320.345
R/theta	GBS184	2.34392	0.0737551	74.4891	31.7797
1/delta	GBS184	0.316952	0.00134864	74.4891	235.017
nu	GBS184	1.10212	0.000988025	1229.4	1115.48
M	GBS184	0.147484	0.000498866	43.6022	295.639
R/theta	GBS185	0.699332	0.0354172	13.8087	19.7455
1/delta	GBS185	1.2185	0.107522	13.8087	11.3325
nu	GBS185	1.0005	0.0604654	16.5549	16.5466
M	GBS185	0.0594864	0.000181981	19.4451	326.883
R/theta	GBS186	0.962803	0.0395718	23.4255	24.3305
1/delta	GBS186	1.34915	0.0777024	23.4255	17.3631
nu	GBS186	1.39481	0.0302076	64.4042	46.1742
M	GBS186	0.0877062	0.000269004	28.5958	326.04
R/theta	GBS187	0.737383	0.0392308	13.8599	18.796
1/delta	GBS187	1.20189	0.104225	13.8599	11.5317
nu	GBS187	0.824496	0.0470463	14.4495	17.5252
M	GBS187	0.0536952	0.000164278	17.5505	326.855
R/theta	GBS188	1.17182	0.0309307	44.3945	37.8852
1/delta	GBS188	0.508135	0.00581606	44.3945	87.3675
nu	GBS188	1.19278	0.00305765	465.302	390.098
M	GBS188	0.176113	0.000556856	55.6978	316.262
R/theta	GBS189	1.3944	0.0520755	37.3369	26.7764
1/delta	GBS189	0.796416	0.016988	37.3369	46.8812
nu	GBS189	1.06965	0.00559462	204.51	191.193
M	GBS189	0.104033	0.000323166	33.49	321.917
R/theta	GBS190	1.00152	0.040304	24.8868	24.8491
1/delta	GBS190	1.33087	0.0711706	24.8869	18.6997
nu	GBS190	1.08775	0.0206245	57.3689	52.7408
M	GBS190	0.0909338	0.000279063	29.6311	325.854
R/theta	GBS191	0.975342	0.0454177	20.9454	21.475
1/delta	GBS191	1.23886	0.0732747	20.9454	16.907
nu	GBS191	1.11765	0.0254396	49.1025	43.9336
M	GBS191	0.0702153	0.000215315	22.8975	326.104
R/theta	GBS192	1.39488	0.0609716	31.9112	22.8775
1/delta	GBS192	0.428115	0.0057435	31.9112	74.539
nu	GBS192	0.349412	0.0010683	114.283	327.073
M	GBS192	0.0808564	0.000254222	25.7167	318.054
R/theta	GBS193	1.06805	0.0290161	39.314	36.809
1/delta	GBS193	1.05711	0.0284245	39.3141	37.1901
nu	GBS193	1.09686	0.00763925	157.49	143.582
M	GBS193	0.165528	0.000512041	53.5104	323.271
R/theta	GBS194	1.2551	0.0418285	37.6603	30.0059
1/delta	GBS194	1.27787	0.0433602	37.6603	29.4711
nu	GBS194	1.13641	0.0107554	120.073	105.66
M	GBS194	0.123099	0.000379527	39.9272	324.349
R/theta	GBS195	0.994633	0.0391329	25.2804	25.4168
1/delta	GBS195	1.45189	0.0833845	25.2804	17.412
nu	GBS195	1.01771	0.0219265	47.2367	46.4146
M	GBS195	0.0943564	0.000289407	30.7633	326.034
R/theta	GBS196	0.766544	0.0314535	18.6813	24.3707
1/delta	GBS196	1.21516	0.0790432	18.6813	15.3734
nu	GBS196	0.585857	0.0160953	21.3248	36.3993
M	GBS196	0.087875	0.000269292	28.6752	326.318
R/theta	GBS197	0.826917	0.0391496	17.4662	21.122
1/delta	GBS197	1.34832	0.104084	17.4662	12.9541
nu	GBS197	1.13442	0.0462781	27.808	24.513
M	GBS197	0.0679369	0.000207977	22.192	326.656
R/theta	GBS199	0.68113	0.0371536	12.487	18.3328
1/delta	GBS199	1.15416	0.106678	12.487	10.8191
nu	GBS199	0.882302	0.0629117	12.3738	14.0244
M	GBS199	0.0508517	0.000155532	16.6262	326.954
R/theta	GBS200	0.906639	0.0358317	22.9404	25.3027
1/delta	GBS200	1.05289	0.0483241	22.9404	21.7881
nu	GBS200	0.831384	0.0122418	56.4624	67.9137
M	GBS200	0.0938398	0.000288363	30.5376	325.422
R/theta	GBS201	2.33632	0.06456	84.5477	36.1884
1/delta	GBS201	1.10289	0.0143868	84.5477	76.6601
nu	GBS201	1.0095	0.00299116	340.699	337.494
M	GBS201	0.164592	0.00051798	52.3006	317.758
R/theta	GBS202	0.856604	0.0322196	22.7741	26.5865
1/delta	GBS202	1.02729	0.0463386	22.7741	22.1692
nu	GBS202	1.34555	0.0192812	93.9005	69.7857
M	GBS202	0.101729	0.000312658	33.0995	325.369
R/theta	GBS203	1.05164	0.02957	37.4008	35.5644
1/delta	GBS203	1.61289	0.0695551	37.4008	23.1887
nu	GBS203	0.935676	0.0125099	69.9837	74.7948
M	GBS203	0.156864	0.000482321	51.0163	325.227
R/theta	GBS204	0.834233	0.0371766	18.72	22.4398
1/delta	GBS204	1.26036	0.0848567	18.72	14.8529
nu	GBS204	1.00994	0.0298431	34.178	33.8416
M	GBS204	0.0760498	0.000233002	24.822	326.391
R/theta	GBS205	1.35921	0.0484678	38.1169	28.0435
1/delta	GBS205	1.23617	0.04009	38.1169	30.8348
nu	GBS205	1.2281	0.0109302	137.989	112.359
M	GBS205	0.111092	0.000342708	36.0113	324.159
R/theta	GBS206	1.03849	0.0551017	19.5723	18.8469
1/delta	GBS206	1.1856	0.0718187	19.5723	16.5083
nu	GBS206	0.79445	0.0189269	33.3468	41.9747
M	GBS206	0.0541243	0.000165944	17.6532	326.16
R/theta	GBS207	1.86157	0.0691087	50.1447	26.9368
1/delta	GBS207	0.870321	0.0151054	50.1447	57.6164
nu	GBS207	0.791955	0.00324659	193.185	243.934
M	GBS207	0.105535	0.000329366	33.8152	320.418
R/theta	GBS88	0.592143	0.00779091	45.0054	76.0043
1/delta	GBS88	0.399388	0.00354426	45.0054	112.686
nu	GBS88	1.37247	0.00266767	706.114	514.484
M	GBS88	0.421729	0.00134856	131.886	312.726
R/theta	GBS89	1.61471	0.0557573	46.7612	28.9596
1/delta	GBS89	1.18072	0.0298132	46.7612	39.604
nu	GBS89	1.01746	0.00654566	158.156	155.441
M	GBS89	0.117189	0.000362888	37.8442	322.934
R/theta	GBS90	1.91869	0.0779248	47.2425	24.6223
1/delta	GBS90	0.743016	0.0116859	47.2425	63.5821
nu	GBS90	0.852002	0.00311811	232.803	273.243
M	GBS90	0.0913581	0.000285865	29.1966	319.585
R/theta	GBS91	0.749248	0.0252193	22.2597	29.7093
1/delta	GBS91	1.04936	0.0494682	22.2597	21.2127
nu	GBS91	0.855303	0.0131409	55.6691	65.087
M	GBS91	0.120831	0.000371214	39.3309	325.503
R/theta	GBS92	1.71968	0.0678485	43.5866	25.3458
1/delta	GBS92	1.01284	0.0235357	43.5867	43.0342
nu	GBS92	0.65799	0.00381901	113.367	172.294
M	GBS92	0.0949979	0.000294608	30.6325	322.455
R/theta	GBS93	1.1881	0.0430163	32.8153	27.6199
1/delta	GBS93	0.94457	0.0271889	32.8153	34.741
nu	GBS93	0.812105	0.00617337	106.832	131.55
M	GBS93	0.108672	0.000335809	35.1678	323.613
R/theta	GBS94	1.18911	0.0494592	28.5889	24.0423
1/delta	GBS94	0.631901	0.0139669	28.5889	45.2427
nu	GBS94	0.726036	0.0039643	132.969	183.143
M	GBS94	0.087014	0.000270107	28.0313	322.146
R/theta	GBS95	1.93699	0.0489437	76.6583	39.5759
1/delta	GBS95	0.732715	0.00700344	76.6583	104.622
nu	GBS95	1.23594	0.00260271	586.91	474.868
M	GBS95	0.188272	0.000599875	59.0897	313.852
R/theta	GBS96	1.31892	0.0486799	35.7344	27.0937
1/delta	GBS96	0.842692	0.0198724	35.7344	42.4051
nu	GBS96	0.407078	0.00240585	68.8787	169.203
M	GBS96	0.105788	0.000327983	34.1213	322.543
R/theta	GBS97	1.11922	0.0497419	25.1831	22.5006
1/delta	GBS97	1.37064	0.0745998	25.1831	18.3732
nu	GBS97	0.82241	0.0160825	42.0555	51.1369
M	GBS97	0.0765405	0.000234859	24.9445	325.899
R/theta	GBS98	2.07881	0.073696	58.6391	28.2079
1/delta	GBS98	1.05521	0.0189884	58.6391	55.5712
nu	GBS98	1.30255	0.00556915	304.648	233.886
M	GBS98	0.113351	0.000353445	36.3521	320.704
R/theta	GBS99	2.16628	0.0724039	64.8135	29.9193
1/delta	GBS99	0.668004	0.00688482	64.8135	97.0256
nu	GBS99	0.756964	0.00173002	331.208	437.547
M	GBS99	0.12636	0.000401252	39.7924	314.913
